,Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
39,2019,3,PARIS LYON,AIX EN PROVENCE TGV,188.88337469,403,0,14,30.419047619,1.7201406120799998,13,1.7201406120799998,5,1,16.6666666667,16.6666666667,33.333333333300004,33.333333333300004,0.0,0.0
40,2019,3,PARIS EST,METZ,84.8149350649,312,4,34,37.4857843137,3.73295454545,19,3.73295454545,13,6,3.22580645161,35.4838709677,16.1290322581,35.4838709677,9.67741935484,0.0
41,2019,3,PARIS LYON,GRENOBLE,181.712,250,0,36,31.6666666667,5.726,23,5.726,14,3,27.7777777778,30.5555555556,22.2222222222,16.6666666667,2.77777777778,0.0
42,2019,1,PARIS MONTPARNASSE,POITIERS,93.2711538462,524,4,68,31.9970588235,5.19458333333,45,5.19458333333,20,14,30.3571428571,8.928571428569997,28.5714285714,28.5714285714,1.78571428571,1.78571428571
43,2018,12,PARIS LYON,ANNECY,224.298245614,172,1,16,33.84375,5.8713450292400005,16,5.8713450292400005,7,2,25.0,12.5,31.25,31.25,0.0,0.0
44,2018,12,LYON PART DIEU,MONTPELLIER,118.622727273,226,6,85,23.2266666667,11.2320454545,57,11.2320454545,17,2,16.4556962025,21.5189873418,34.177215189900004,13.9240506329,7.5949367088600015,6.32911392405
45,2019,1,PARIS MONTPARNASSE,TOURS,72.7554347826,184,0,39,28.3957264957,7.120289855069999,15,7.120289855069999,11,9,32.1428571429,7.1428571428600005,35.7142857143,21.4285714286,3.5714285714300003,0.0
46,2019,1,PARIS MONTPARNASSE,QUIMPER,221.111111111,264,3,30,56.3333333333,7.03448275862,30,7.03448275862,18,10,43.3333333333,30.0,13.3333333333,10.0,0.0,3.3333333333299984
47,2019,1,LILLE,MARSEILLE ST CHARLES,299.893854749,182,3,33,75.5247474747,15.9598696462,33,15.9598696462,30,19,42.4242424242,15.151515151500002,12.1212121212,21.2121212121,0.0,9.09090909091
48,2019,1,TOURS,PARIS MONTPARNASSE,75.1263157895,191,1,33,25.701010101,5.35289473684,9,5.35289473684,8,5,30.0,40.0,15.0,15.0,0.0,0.0
49,2019,1,NICE VILLE,PARIS LYON,357.34463276800005,181,4,36,38.4083333333,8.974011299439999,36,8.974011299439999,16,3,47.2222222222,27.7777777778,13.8888888889,5.555555555560001,5.555555555560001,0.0
50,2018,12,PARIS MONTPARNASSE,ANGERS SAINT LAUD,92.0509708738,412,0,68,20.1661764706,4.3859223301,31,4.3859223301,7,3,26.9230769231,17.307692307700002,40.3846153846,9.61538461538,5.76923076923,0.0
51,2019,1,BARCELONA,PARIS LYON,390.5,62,0,6,40.7222222222,3.28924731183,6,3.28924731183,3,1,50.0,16.6666666667,16.6666666667,16.6666666667,0.0,0.0
52,2018,10,PARIS LYON,BELLEGARDE (AIN),160.47029703,202,0,34,24.3205882353,5.62037953795,24,5.62037953795,9,2,14.705882352899998,35.29411764709999,32.3529411765,11.7647058824,2.9411764705900003,2.9411764705900003
53,2018,10,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.0612244898,196,0,29,17.4994252874,3.2125,11,3.2125,4,2,12.5,12.5,25.0,43.75,6.25,0.0
54,2018,10,MULHOUSE VILLE,PARIS LYON,171.798076923,314,2,32,21.8234375,2.98269230769,15,2.98269230769,5,2,14.2857142857,14.2857142857,39.2857142857,10.7142857143,10.7142857143,10.7142857143
55,2018,10,FRANCFORT,PARIS EST,226.405524345,178,0,26,30.3974358974,6.87799625468,26,6.87799625468,11,2,36.0,8.0,12.0,20.0,12.0,12.0
56,2018,11,MARSEILLE ST CHARLES,TOURCOING,297.466666667,30,0,5,54.2,12.1666666667,5,12.1666666667,3,2,20.0,20.0,60.0,0.0,0.0,0.0
57,2018,9,RENNES,LYON PART DIEU,234.62195122,82,0,15,35.2466666667,8.446544715449999,15,8.446544715449999,7,2,14.2857142857,14.2857142857,21.4285714286,42.8571428571,0.0,7.1428571428600005
58,2018,9,VANNES,PARIS MONTPARNASSE,161.145522388,268,0,33,22.1939393939,4.78016169154,17,4.78016169154,5,1,25.0,21.875,12.5,18.75,12.5,9.375
59,2018,9,LYON PART DIEU,LILLE,187.564885496,264,2,62,33.9905913978,10.1917302799,55,10.1917302799,21,9,8.06451612903,25.8064516129,32.2580645161,20.9677419355,8.06451612903,4.83870967742
60,2018,9,BELLEGARDE (AIN),PARIS LYON,163.052631579,229,1,26,24.0807692308,2.95014619883,18,2.95014619883,4,1,13.6363636364,27.2727272727,40.9090909091,9.09090909091,9.09090909091,0.0
61,2018,9,PARIS MONTPARNASSE,LAVAL,89.4368932039,206,0,7,9.9119047619,2.42127831715,4,2.42127831715,0,0,0.0,25.0,25.0,50.0,0.0,0.0
62,2019,2,PARIS MONTPARNASSE,ANGERS SAINT LAUD,91.155,402,2,44,18.5382575758,3.44658333333,16,3.44658333333,7,1,14.705882352899998,23.5294117647,35.29411764709999,20.5882352941,2.9411764705900003,2.9411764705900003
63,2019,2,NANTES,PARIS MONTPARNASSE,131.888030888,520,2,42,33.794047619000004,4.173423423419999,29,4.173423423419999,13,4,35.7142857143,19.0476190476,23.8095238095,19.0476190476,0.0,2.38095238095
64,2019,2,PARIS EST,METZ,84.7122807018,291,6,53,22.5971698113,4.313567251459999,29,4.313567251459999,16,4,20.8333333333,20.8333333333,18.75,25.0,10.4166666667,4.16666666667
65,2019,2,PARIS LYON,NICE VILLE,356.588607595,163,5,14,95.0452380952,9.75,14,9.75,11,7,15.3846153846,38.4615384615,23.0769230769,7.692307692310001,7.692307692310001,7.692307692310001
66,2019,2,PARIS LYON,PERPIGNAN,306.366906475,140,1,18,66.8037037037,10.5061151079,18,10.5061151079,10,5,16.6666666667,33.333333333300004,33.333333333300004,11.1111111111,5.555555555560001,0.0
67,2019,2,MARSEILLE ST CHARLES,LYON PART DIEU,105.495356037,331,8,42,39.1563492063,7.504282765739998,26,7.504282765739998,13,8,25.0,19.4444444444,36.1111111111,11.1111111111,5.555555555560001,2.77777777778
68,2019,4,PARIS NORD,ARRAS,55.4127516779,310,12,56,19.4410714286,3.78131991051,27,3.78131991051,9,3,29.0909090909,20.0,12.7272727273,23.6363636364,14.5454545455,0.0
69,2019,4,PARIS NORD,DUNKERQUE,122.0,248,2,39,31.5897435897,5.17073170732,30,5.17073170732,17,4,21.0526315789,28.9473684211,5.26315789474,28.9473684211,15.7894736842,0.0
70,2019,4,PARIS NORD,DOUAI,72.9585492228,197,4,38,22.3157894737,3.41545768566,20,3.41545768566,9,2,21.0526315789,21.0526315789,10.5263157895,34.2105263158,13.1578947368,0.0
71,2019,4,ANNECY,PARIS LYON,228.42424242400003,135,3,19,34.0280701754,5.43674242424,19,5.43674242424,6,4,11.1111111111,27.7777777778,50.0,11.1111111111,0.0,0.0
72,2019,4,MULHOUSE VILLE,PARIS LYON,170.25083612,299,0,19,28.1675438596,0.657134894091,11,0.657134894091,5,2,7.692307692310001,15.3846153846,7.692307692310001,46.1538461538,23.0769230769,0.0
73,2019,4,PARIS MONTPARNASSE,BREST,221.583011583,261,2,14,29.035714285700003,2.30501930502,14,2.30501930502,6,0,23.0769230769,30.7692307692,15.3846153846,23.0769230769,0.0,7.692307692310001
74,2019,6,ANGOULEME,PARIS MONTPARNASSE,130.978798587,283,0,67,46.2776119403,12.446584216700002,47,60.7624113475,23,11,11.6666666667,46.6666666667,21.6666666667,11.6666666667,1.66666666667,6.666666666669999
75,2019,6,PARIS MONTPARNASSE,NANTES,133.32234432200002,548,2,104,31.1604166667,7.089713064710001,77,37.670995671,34,13,15.306122449,28.5714285714,29.5918367347,22.4489795918,3.0612244898000003,1.0204081632700002
76,2019,6,MARSEILLE ST CHARLES,PARIS LYON,200.405241935,518,22,52,44.1044871795,5.4375672043,52,44.1044871795,27,13,25.4901960784,27.4509803922,17.6470588235,15.6862745098,7.8431372548999985,5.8823529411800015
77,2019,6,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,169.504587156,109,0,12,33.6180555556,5.50596330275,8,43.8583333333,4,2,27.2727272727,36.3636363636,9.09090909091,27.2727272727,0.0,0.0
78,2019,5,PARIS EST,STUTTGART,179.60135135099998,148,0,16,27.4010416667,5.99921171171,15,28.4066666667,5,0,0.0,14.2857142857,21.4285714286,42.8571428571,21.4285714286,0.0
79,2019,5,ANNECY,PARIS LYON,230.604316547,142,3,11,42.4575757576,3.96762589928,11,42.4575757576,4,3,40.0,20.0,20.0,10.0,10.0,0.0
81,2019,2,ARRAS,PARIS NORD,50.9867986799,309,6,86,13.971124031,4.80154015402,20,4.80154015402,8,0,16.2162162162,20.2702702703,48.6486486486,8.10810810811,6.7567567567600015,0.0
82,2019,2,PARIS LYON,BELLEGARDE (AIN),162.867647059,204,0,26,51.9538461538,9.18129084967,20,9.18129084967,10,8,0.0,50.0,25.0,16.6666666667,8.333333333330001,0.0
83,2019,2,PARIS LYON,MULHOUSE VILLE,169.626459144,258,1,35,66.4252380952,9.77269779507,29,9.77269779507,20,11,11.4285714286,42.8571428571,20.0,20.0,2.85714285714,2.85714285714
84,2019,2,BORDEAUX ST JEAN,TOURCOING,302.571428571,28,0,1,16.0,0.964285714286,1,0.964285714286,0,0,100.0,0.0,0.0,0.0,0.0,0.0
85,2019,1,ANGOULEME,PARIS MONTPARNASSE,125.0,310,12,38,46.4096491228,7.350559284119999,26,7.350559284119999,17,6,37.8378378378,18.9189189189,21.621621621600003,16.2162162162,2.7027027027,2.7027027027
86,2019,1,LYON PART DIEU,RENNES,238.510638298,94,0,14,36.2178571429,6.87340425532,14,6.87340425532,8,2,42.8571428571,0.0,7.1428571428600005,42.8571428571,0.0,7.1428571428600005
87,2019,1,PERPIGNAN,PARIS LYON,303.807692308,159,3,15,54.12,4.6641025641,15,4.6641025641,10,5,66.6666666667,20.0,6.666666666669999,6.666666666669999,0.0,0.0
88,2018,12,RENNES,PARIS MONTPARNASSE,99.9493243243,596,4,156,15.9635683761,5.511486486490001,44,5.511486486490001,15,4,15.5963302752,35.7798165138,20.1834862385,20.1834862385,1.83486238532,6.42201834862
89,2018,12,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,169.084745763,118,0,17,21.8049019608,4.7145480226,10,4.7145480226,4,1,23.5294117647,5.8823529411800015,35.29411764709999,23.5294117647,11.7647058824,0.0
90,2018,12,NICE VILLE,PARIS LYON,354.344262295,186,3,27,36.362962963,6.10109289617,27,6.10109289617,12,3,37.037037037,14.8148148148,14.8148148148,14.8148148148,14.8148148148,3.7037037037
91,2018,12,ZURICH,PARIS LYON,243.374266667,125,0,12,44.7236111111,5.29693333333,12,5.29693333333,6,3,66.6666666667,8.333333333330001,8.333333333330001,8.333333333330001,8.333333333330001,0.0
92,2019,4,PARIS LYON,GENEVE,179.535125448,187,1,11,20.3742424242,2.7033154121900003,5,2.7033154121900003,2,0,10.0,0.0,50.0,20.0,20.0,0.0
93,2018,10,METZ,PARIS EST,85.87540983609999,307,2,71,19.1650234742,5.04808743169,28,5.04808743169,11,5,16.9491525424,20.3389830508,37.2881355932,15.2542372881,8.47457627119,1.69491525424
94,2018,10,STRASBOURG,PARIS EST,112.616525424,472,0,71,26.1403755869,4.98672316384,42,4.98672316384,20,6,16.6666666667,9.09090909091,18.1818181818,33.333333333300004,3.0303030303,19.696969697
95,2018,10,NANTES,STRASBOURG,306.594594595,37,0,8,32.33125,8.77387387387,8,8.77387387387,4,1,12.5,50.0,25.0,12.5,0.0,0.0
96,2018,10,ARRAS,PARIS NORD,51.668711656400006,330,4,71,19.0988262911,4.7927914110400005,25,4.7927914110400005,6,5,10.0,31.6666666667,41.6666666667,13.3333333333,3.3333333333299984,0.0
97,2018,10,DOUAI,PARIS NORD,78.7281553398,208,2,41,17.5329268293,4.19862459547,14,4.19862459547,3,3,2.9411764705900003,32.3529411765,44.1176470588,17.6470588235,2.9411764705900003,0.0
98,2018,10,PARIS LYON,GRENOBLE,184.548523207,239,2,40,40.1,10.3670886076,40,10.3670886076,21,6,20.5128205128,10.2564102564,23.0769230769,38.4615384615,5.128205128209999,2.5641025641
99,2018,10,MARSEILLE ST CHARLES,PARIS LYON,197.920454545,440,0,61,56.806557377,9.60537878788,61,9.60537878788,35,15,14.7540983607,40.9836065574,24.5901639344,14.7540983607,3.278688524589999,1.6393442623
100,2018,10,PARIS LYON,MULHOUSE VILLE,167.909722222,290,2,46,29.3757246377,5.55792824074,33,5.55792824074,15,5,28.2608695652,8.69565217391,19.565217391300003,28.2608695652,10.8695652174,4.34782608696
102,2018,10,MARSEILLE ST CHARLES,LYON PART DIEU,102.85770751,514,8,143,26.8114219114,10.6436758893,90,10.6436758893,27,12,12.5874125874,23.0769230769,40.5594405594,9.79020979021,11.1888111888,2.7972027972
103,2018,10,PARIS LYON,ITALIE,427.395789474,96,1,21,62.1904761905,13.3421052632,21,13.3421052632,10,6,20.0,5.0,35.0,35.0,5.0,0.0
104,2018,11,LAVAL,PARIS MONTPARNASSE,90.0,196,4,31,16.8021505376,5.27881944444,20,5.27881944444,5,2,26.0869565217,13.0434782609,30.4347826087,13.0434782609,8.69565217391,8.69565217391
105,2018,11,AVIGNON TGV,PARIS LYON,160.478846154,522,2,95,44.5507017544,9.038141025639998,64,9.038141025639998,45,23,30.526315789500003,26.3157894737,20.0,15.7894736842,4.21052631579,3.1578947368400003
106,2018,11,STUTTGART,PARIS EST,190.885446009,146,4,18,35.4212962963,6.6066901408500005,16,6.6066901408500005,11,2,23.5294117647,17.6470588235,17.6470588235,17.6470588235,0.0,23.5294117647
107,2018,11,GENEVE,PARIS LYON,194.014673046,212,3,22,53.5015151515,6.64226475279,22,6.64226475279,14,7,45.4545454545,13.6363636364,13.6363636364,18.1818181818,9.09090909091,0.0
108,2018,9,CHAMBERY CHALLES LES EAUX,PARIS LYON,184.776595745,189,1,69,31.0857487923,12.4186170213,57,12.4186170213,20,8,19.4029850746,37.3134328358,29.8507462687,5.97014925373,5.97014925373,1.49253731343
109,2018,9,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.025,200,0,24,19.3041666667,2.80716666667,13,2.80716666667,5,0,16.6666666667,27.7777777778,16.6666666667,38.8888888889,0.0,0.0
110,2018,9,MARSEILLE ST CHARLES,MARNE LA VALLEE,214.174496644,300,2,44,50.268939393900006,8.32142058166,44,8.32142058166,18,12,15.909090909099998,18.1818181818,34.0909090909,27.2727272727,4.54545454545,0.0
111,2018,9,MARSEILLE ST CHARLES,TOURCOING,296.0,30,0,3,93.0,11.9666666667,3,11.9666666667,2,2,0.0,33.333333333300004,66.6666666667,0.0,0.0,0.0
112,2018,9,MADRID,MARSEILLE ST CHARLES,419.801666667,30,0,6,71.8611111111,17.3422222222,6,17.3422222222,4,3,0.0,16.6666666667,50.0,33.333333333300004,0.0,0.0
113,2018,9,ITALIE,PARIS LYON,433.444886364,88,0,36,48.6444444444,23.0748106061,36,23.0748106061,18,8,25.0,21.875,37.5,9.375,3.125,3.125
114,2019,3,STRASBOURG,PARIS EST,116.548449612,522,6,64,39.2171875,5.13695090439,36,5.13695090439,21,14,11.2903225806,29.0322580645,20.9677419355,27.4193548387,4.83870967742,6.451612903230001
115,2019,3,PARIS MONTPARNASSE,RENNES,98.888372093,657,12,64,30.0692708333,3.59377260982,32,3.59377260982,14,10,35.7142857143,17.8571428571,14.2857142857,25.0,3.5714285714300003,3.5714285714300003
116,2019,3,ANGERS SAINT LAUD,PARIS MONTPARNASSE,93.7399103139,450,4,66,32.9535353535,5.58553811659,36,5.58553811659,23,9,40.0,30.0,14.000000000000002,14.000000000000002,0.0,2.0
117,2019,6,PARIS NORD,DOUAI,67.0,191,0,37,22.2905405405,3.66972076789,20,32.5941666667,10,1,16.2162162162,16.2162162162,13.5135135135,35.1351351351,13.5135135135,5.40540540541
118,2019,6,BORDEAUX ST JEAN,TOURCOING,300.931034483,29,0,4,71.25,12.6551724138,4,71.25,4,2,25.0,25.0,0.0,50.0,0.0,0.0
119,2019,6,MARSEILLE ST CHARLES,MARNE LA VALLEE,210.926229508,258,14,51,34.6385620915,8.34931693989,51,34.6385620915,24,6,24.0,18.0,24.0,28.000000000000004,4.0,2.0
120,2019,6,PARIS LYON,NICE VILLE,352.834319527,169,0,23,46.0760869565,8.66785009862,23,46.0760869565,13,5,17.3913043478,21.7391304348,21.7391304348,21.7391304348,17.3913043478,0.0
121,2019,5,LYON PART DIEU,MARNE LA VALLEE,109.773109244,294,56,44,31.4541666667,6.613445378150001,31,39.124731182800005,13,4,34.0909090909,13.6363636364,29.5454545455,13.6363636364,4.54545454545,4.54545454545
122,2019,5,DIJON VILLE,PARIS LYON,98.4103139013,446,0,34,24.5102941176,1.81543348281,23,30.1188405797,8,2,5.8823529411800015,32.3529411765,32.3529411765,11.7647058824,8.823529411760003,8.823529411760003
123,2019,5,PARIS LYON,MACON LOCHE,96.4020100503,199,0,16,33.071875,3.03199329983,12,39.7444444444,7,1,37.5,12.5,6.25,37.5,6.25,0.0
124,2019,4,PARIS LYON,MACON LOCHE,96.345177665,199,2,11,31.3333333333,2.13917089679,9,2.13917089679,6,1,10.0,10.0,10.0,70.0,0.0,0.0
125,2019,4,LYON PART DIEU,MARSEILLE ST CHARLES,104.76519337,363,1,75,29.5482222222,7.47592081031,54,7.47592081031,27,7,17.1428571429,22.8571428571,28.5714285714,12.8571428571,12.8571428571,5.71428571429
126,2019,4,MONTPELLIER,PARIS LYON,207.123778502,307,0,22,32.5371212121,1.32920738328,22,1.32920738328,7,2,42.10526315790001,21.0526315789,21.0526315789,5.26315789474,10.5263157895,0.0
127,2018,9,POITIERS,PARIS MONTPARNASSE,100.091954023,435,0,97,15.341580756,4.5562835249,23,4.5562835249,9,3,8.45070422535,39.4366197183,29.5774647887,12.676056338,4.22535211268,5.6338028169
128,2018,9,BREST,PARIS MONTPARNASSE,230.771863118,265,2,17,32.1333333333,4.77908745247,17,4.77908745247,5,1,33.333333333300004,33.333333333300004,6.666666666669999,13.3333333333,6.666666666669999,6.666666666669999
129,2018,11,PARIS MONTPARNASSE,BREST,222.870848708,273,2,31,45.1290322581,7.929889298889999,31,7.929889298889999,12,5,35.4838709677,25.8064516129,9.67741935484,9.67741935484,9.67741935484,9.67741935484
130,2018,11,TOURCOING,MARSEILLE ST CHARLES,304.733333333,30,0,3,68.44444444439999,9.49555555556,3,9.49555555556,3,1,33.333333333300004,66.6666666667,0.0,0.0,0.0,0.0
131,2018,11,MACON LOCHE,PARIS LYON,100.190721649,194,0,29,30.1103448276,5.3011168384900005,23,5.3011168384900005,9,5,27.5862068966,27.5862068966,27.5862068966,6.896551724139999,6.896551724139999,3.44827586207
132,2018,11,PARIS LYON,GENEVE,192.774779541,191,2,26,44.5346153846,6.79223985891,26,6.79223985891,12,5,28.000000000000004,12.0,32.0,24.0,4.0,0.0
133,2018,10,PARIS EST,NANCY,95.2536231884,279,3,16,23.7302083333,2.33556763285,15,2.33556763285,7,3,18.75,25.0,18.75,31.25,6.25,0.0
134,2018,10,MARNE LA VALLEE,LYON PART DIEU,109.674740484,290,1,50,36.37,7.602883506339999,37,7.602883506339999,18,8,12.2448979592,20.4081632653,34.693877551,22.4489795918,8.16326530612,2.04081632653
135,2018,10,PARIS LYON,MARSEILLE ST CHARLES,198.61655773400005,463,4,73,42.8520547945,8.514923747280001,73,8.514923747280001,38,15,24.6575342466,27.397260274,10.9589041096,34.2465753425,2.7397260274,0.0
