,Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
0,2019,7,ANGOULEME,PARIS MONTPARNASSE,131.914979757,247,0,41,22.924796748,5.23333333333,21,32.9658730159,7,2,25.0,15.0,27.500000000000004,12.5,2.5,17.5
1,2019,7,PARIS MONTPARNASSE,LA ROCHELLE VILLE,175.611570248,242,0,47,27.085106383000003,6.12396694215,35,32.0571428571,14,2,20.0,24.4444444444,26.6666666667,24.4444444444,0.0,4.44444444444
2,2019,7,LE MANS,PARIS MONTPARNASSE,62.3953488372,435,5,91,18.4406593407,4.43019379845,30,42.3672413793,13,4,16.1764705882,32.3529411765,26.470588235300003,14.705882352899998,2.9411764705900003,7.35294117647
3,2019,7,ST MALO,PARIS MONTPARNASSE,172.421052632,114,0,15,20.618888888900003,3.81213450292,8,27.6208333333,2,0,15.3846153846,15.3846153846,23.0769230769,38.4615384615,0.0,7.692307692310001
4,2019,7,PARIS MONTPARNASSE,ST PIERRE DES CORPS,67.31,404,4,73,19.6084474886,4.17620833333,28,37.6583333333,12,3,18.4615384615,12.3076923077,40.0,16.9230769231,7.692307692310001,4.615384615380001
5,2019,7,PARIS MONTPARNASSE,TOULOUSE MATABIAU,266.59473684200003,190,0,28,47.343452381000006,8.42210526316,28,47.343452381000006,13,4,25.925925925900003,33.333333333300004,22.2222222222,18.5185185185,0.0,0.0
6,2019,7,TOULOUSE MATABIAU,PARIS MONTPARNASSE,265.262886598,194,0,29,45.6109195402,8.4074742268,29,45.6109195402,13,4,37.9310344828,27.5862068966,6.896551724139999,20.6896551724,3.44827586207,3.44827586207
7,2019,7,PARIS EST,METZ,85.399380805,323,0,52,37.1448717949,5.52363261094,28,60.8744047619,16,11,24.0,18.0,16.0,26.0,16.0,0.0
8,2019,7,PARIS EST,REIMS,46.3055555556,222,6,36,28.5393518519,5.154243827159999,18,47.8416666667,11,5,32.3529411765,14.705882352899998,17.6470588235,23.5294117647,11.7647058824,0.0
9,2019,7,PARIS NORD,DOUAI,67.0,180,3,30,25.5138888889,3.63305084746,18,35.6138888889,10,3,6.666666666669999,26.6666666667,20.0,20.0,26.6666666667,0.0
10,2019,7,LYON PART DIEU,LILLE,187.298642534,287,66,94,31.2010638298,15.283785822,81,34.3425925926,29,10,18.2795698925,25.8064516129,37.6344086022,10.752688172,5.37634408602,2.15053763441
11,2019,7,LILLE,MARSEILLE ST CHARLES,300.848780488,205,0,45,48.0233333333,13.3861788618,45,48.0233333333,22,16,31.818181818200003,18.1818181818,18.1818181818,15.909090909099998,11.3636363636,4.54545454545
13,2019,7,LYON PART DIEU,MARNE LA VALLEE,109.587301587,318,66,86,25.9397286822,9.93366402116,60,31.8261111111,20,6,15.2941176471,21.1764705882,42.3529411765,12.9411764706,5.8823529411800015,2.3529411764700003
14,2019,7,MARSEILLE ST CHARLES,MARNE LA VALLEE,213.803149606,261,7,65,33.0012820513,9.93320209974,65,33.0012820513,22,7,26.1538461538,13.846153846199998,26.1538461538,18.4615384615,10.7692307692,4.615384615380001
15,2019,7,ANNECY,PARIS LYON,231.904411765,180,44,11,36.4227272727,4.00343137255,11,36.4227272727,5,1,18.1818181818,18.1818181818,36.3636363636,18.1818181818,9.09090909091,0.0
16,2019,7,CHAMBERY CHALLES LES EAUX,PARIS LYON,191.280991736,254,133,16,31.6197916667,4.89063360882,13,34.615476190500004,7,1,26.6666666667,13.3333333333,40.0,6.666666666669999,6.666666666669999,6.666666666669999
17,2019,7,PARIS LYON,LYON PART DIEU,120.473684211,549,17,64,29.92109375,4.43756265664,46,39.127037037,24,10,13.3333333333,20.0,10.0,48.3333333333,8.333333333330001,0.0
18,2019,7,LYON PART DIEU,PARIS LYON,121.107913669,597,41,110,25.861969697,6.519004796159999,74,33.6324200913,30,8,18.691588785,28.0373831776,20.5607476636,12.1495327103,15.8878504673,4.67289719626
19,2019,7,PARIS LYON,MARSEILLE ST CHARLES,202.472826087,552,0,59,45.601129943500005,6.80881642512,59,45.601129943500005,38,13,32.2033898305,25.4237288136,16.9491525424,20.3389830508,3.38983050847,1.69491525424
20,2019,7,MARSEILLE ST CHARLES,PARIS LYON,203.886363636,488,4,69,43.177294686,7.28798209366,69,43.177294686,34,12,20.2898550725,27.5362318841,14.4927536232,26.0869565217,8.69565217391,2.89855072464
21,2019,7,PARIS LYON,GENEVE,183.5,183,0,34,49.7651960784,11.8550091075,30,54.9277777778,13,4,12.1212121212,39.3939393939,18.1818181818,18.1818181818,9.09090909091,3.0303030303000003
22,2019,7,GENEVE,PARIS LYON,187.12009803900003,212,8,20,32.9395833333,5.90580065359,20,52.7833333333,9,3,18.75,43.75,25.0,6.25,0.0,6.25
23,2019,7,MADRID,MARSEILLE ST CHARLES,198.0,30,0,7,66.130952381,17.8577777778,7,66.130952381,7,5,28.5714285714,0.0,42.8571428571,28.5714285714,0.0,0.0
24,2018,3,STRASBOURG,PARIS EST,112.402439024,505,13,81,29.8020576132,5.75403116531,64,5.75403116531,26,6,37.6623376623,15.5844155844,19.4805194805,16.883116883099998,6.493506493509999,3.8961038960999983
25,2018,3,PARIS NORD,DUNKERQUE,120.996309963,285,14,39,41.2820512821,6.697416974169999,28,6.697416974169999,19,7,30.7692307692,17.9487179487,15.3846153846,33.333333333300004,2.5641025641,0.0
26,2018,3,LYON PART DIEU,PARIS LYON,120.549770291,664,11,56,23.8827380952,2.21003062787,39,2.21003062787,12,1,39.2156862745,5.8823529411800015,13.7254901961,23.5294117647,15.6862745098,1.96078431373
27,2018,3,PARIS LYON,GENEVE,194.005,203,3,20,24.0458333333,0.9825,20,0.9825,4,0,25.0,15.0,35.0,10.0,15.0,0.0
28,2018,8,LILLE,MARSEILLE ST CHARLES,309.389534884,173,1,37,37.4427927928,10.4421511628,37,10.4421511628,13,6,25.925925925900003,7.407407407409999,18.5185185185,29.6296296296,11.1111111111,7.407407407409999
29,2018,8,LYON PART DIEU,MARNE LA VALLEE,108.849056604,269,4,80,32.341875,10.9482389937,59,10.9482389937,31,9,13.9240506329,26.582278481,24.0506329114,17.7215189873,10.1265822785,7.5949367088600015
30,2018,8,PARIS LYON,VALENCE ALIXAN TGV,131.078034682,348,2,69,35.2898550725,7.39918111753,52,7.39918111753,28,13,5.79710144928,4.34782608696,15.9420289855,60.8695652174,8.69565217391,4.34782608696
32,2018,7,NICE VILLE,PARIS LYON,345.647058824,279,7,83,50.13012048189999,18.103247549,83,18.103247549,43,16,30.1204819277,21.686746988000003,21.686746988000003,21.686746988000003,2.4096385542200003,2.4096385542200003
33,2018,7,PARIS EST,STRASBOURG,113.211180124,494,11,41,34.7711382114,2.9751552795,36,2.9751552795,16,5,9.75609756098,21.9512195122,7.31707317073,39.0243902439,14.6341463415,7.31707317073
34,2019,3,PARIS MONTPARNASSE,QUIMPER,220.426229508,245,1,15,42.1333333333,3.23360655738,15,3.23360655738,8,3,53.3333333333,26.6666666667,0.0,20.0,0.0,0.0
35,2019,3,PARIS MONTPARNASSE,POITIERS,93.0759013283,531,4,64,28.0619791667,4.7163504111300005,35,4.7163504111300005,19,7,29.1666666667,14.5833333333,18.75,25.0,4.16666666667,8.333333333330001
36,2019,3,PARIS MONTPARNASSE,NANTES,127.637898687,542,9,67,38.3684079602,5.834865540959999,51,5.834865540959999,25,11,37.3134328358,17.9104477612,25.373134328400003,17.9104477612,0.0,1.49253731343
37,2019,3,PARIS MONTPARNASSE,ST MALO,165.346534653,104,3,6,31.7555555556,0.374587458746,5,0.374587458746,1,1,50.0,33.333333333300004,0.0,16.6666666667,0.0,0.0
38,2019,3,TOULON,PARIS LYON,250.535087719,231,3,33,34.9747474747,6.0427631578900005,33,6.0427631578900005,13,3,21.2121212121,36.3636363636,27.2727272727,9.09090909091,3.0303030303,3.0303030303
