"product_name","main_category","max_price"
FLY London Women's Pump,women's shoes,44986.5
FNKYRA FASHION BEAUTIFUL BANARASI SILK PARTY WERE SAREE,women's clothing,49999.0
AG Adriano Goldschmied Men's Tellis Modern Slim,men's clothing,40495.95
USPTO डायमंड वन स्टोन D Colour Genuine 3 Carat Diamond Stone Original Certified Real Gemstone Transparent Clarity Brillian...,accessories,1200000.0
"3NH® Men'S Fashion Outdoor Breathable Sneakers Casual Sport Comfortable Running Shoes - Dark Grey 9",men's shoes,66779.0
Betogen Western Dresses for Women |A-Line Knee-Length Dress | Indo Western Dress for Women,women's clothing,49999.0
